,0
0,K201103
1,K191688
2,K200743
3,K191556
4,K183272
5,K182034
6,K170981
7,K200921
8,K182901
9,K173542
10,K200760
11,K180326
12,K200755
13,K111776
14,K190362
15,K191171
16,K200603
17,K173420
18,K192901
19,K191928
20,K192828
21,K201301
22,K193109
23,K181352
24,K190815
25,K191647
26,K200621
27,K193631
28,K183322
29,K172356
30,K182456
31,K183285
32,K151919
33,DEN190040
34,K200811
35,K190868
36,K170540
37,K180432
38,K190072
39,K182513
40,K200990
41,K183046
42,K191278
43,K193229
44,K200708
45,K173821
46,K161328
47,K182344
48,K183202
49,K192880
50,K180647
51,K181861
52,K183231
53,K171328
54,K190442
55,K193087
56,K200036
57,K191713
58,K161201
59,K200595
60,K200851
61,K142677
62,K191272
63,K192320
64,K200905
65,K193281
66,K180161
67,K193220
68,K201710
69,K200232
70,DEN140025
71,K173939
72,K200941
73,DEN180042
74,K182177
75,K191194
76,K181685
77,K181247
78,K183019
79,K192287
80,K140933
81,K193290
82,K182130
83,K182384
84,K201020
85,K160016
86,K183282
87,K201232
88,K191125
89,K193170
90,K181939
91,K190424
92,K201298
93,K192304
94,K200132
95,K162627
96,K193267
97,K193417
98,DEN180044
99,K192962
100,DEN170073
101,K173872
102,DEN180001
103,DEN180005
104,K192832
105,K200667
106,K192973
107,K173681
108,DEN170043
109,K181704
110,K200714
111,K163253
112,K192109
113,K202280
114,K193210
115,K181502
116,K193351
117,K161322
118,K193097
119,K162830
120,K173780
121,K141069
122,K182616
123,K182564
124,K191550
125,K191994
126,K171056
127,K191530
128,K201369
129,K193252
130,K172609
131,K193073
132,K123526
133,K190896
134,K193282
135,K181988
136,K172311
137,K193298
138,K201034
139,K172983
140,K162574
141,K182875
142,K120161
143,K182336
144,K183271
145,K192854
146,K121197
147,K201444
148,K171315
149,K181572
150,K181823
151,K143468
152,K182373
153,K183182
154,K180455
155,K183268
156,K190387
157,K192004
158,K163694
159,K170747
160,K180343
161,K183460
162,K200569
163,P160007
164,K161959
165,K201310
166,K200323
167,DEN170022
168,K200855
169,K173931
170,K192574
171,K183489
172,K181771
173,K191384
174,K182218
175,K200980
176,K192383
177,K080762
178,K193216
179,K202013
180,K192167
181,K200356
182,K193658
183,K193300
184,K192065
185,K201632
186,K193283
187,K201992
